comment,likes,comment_type,author,date,mf_care_harm_score,mf_care_harm_polarity,mf_fairness_cheating_score,mf_fairness_cheating_polarity,mf_loyalty_betrayal_score,mf_loyalty_betrayal_polarity,mf_authority_subversion_score,mf_authority_subversion_polarity,mf_sanctity_degradation_score,mf_sanctity_degradation_polarity,mf_liberty_oppression_score,mf_liberty_oppression_polarity,love_concept,commitment_view,jealousy_attitude,relationship_structure,individualism,traditionalism,openness,conformity,hedonism,universalism,emotional_valence,emotional_intensity,emotions,stance,confidence,argument_type,key_claims,underlying_assumptions,complexity_level,internal_consistency,openness_to_dialogue,moral_sophistication
근데 연대 철학과 나왓다잖아요 ㅋㅋㅋ 레전드다 진짜 .. 무서움 ㅠㅠ,4,↳ 답글,@hxyesi,2025. 9. 20. 오전 8:26:42,2,negative,1,neutral,3,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,individual,2,4,1,4,2,2,negative,4,"불안,두려움,경멸",anti_polyamory,4,personal,다자연애는 무섭다.,"전통적인 일부일처제가 옳다.,다자연애는 불안정하고 위험하다.",2,4,1,2
​@hxyesi연대묜 그럴수도 있쥬깊은뜻이 있겠쥬,0,↳ 답글,@광철영감이수-b9x,2025. 9. 25. 오전 12:01:17,2,neutral,1,neutral,2,negative,1,neutral,1,neutral,3,positive,inclusive,flexible,manageable,fluid,4,2,4,2,3,3,neutral,2,"acceptance,curiosity,tolerance",neutral,3,cultural,"다자연애는 특정 문화적 맥락에서 이해될 수 있다.,다자연애에는 깊은 뜻이 있을 수 있다.","특정 집단(연대)은 일반적인 사회 통념과 다른 가치관을 가질 수 있다.,개인의 행동에는 합리적인 이유가 있을 수 있다.",3,4,4,3
솔직히 이해불가포장된 자기 합리화적 연예방식,122,원댓글,@정숙-s7j,2025. 9. 10. 오후 2:01:36,3,negative,4,negative,5,negative,2,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,4,"disgust,disbelief,judgment",anti_polyamory,5,moral,"다자연애는 자기 합리화이다,다자연애는 진정성이 없다","진정한 사랑은 배타적이다,모든 사람은 질투를 느낀다,관계는 명확한 규칙과 경계를 가져야 한다",2,4,1,2
진짜 역겨워서 못보겠다 방송이 갈데까지 간거같네. 아이들볼까무섭네,61,원댓글,@이영미-g1q,2025. 9. 12. 오후 10:43:38,4,negative,2,negative,3,negative,2,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"disgust,fear,anger",anti_polyamory,5,moral,"다자연애는 역겹다,방송이 아이들에게 해로운 영향을 미칠 수 있다","일부일처제가 정상적인 관계 형태이다,방송은 사회적 책임을 져야 한다",1,5,1,1
"그냥 내 꼴리는대로 하는거고 자기가 좋으니 당연 사랑이라 자기확신, 포장, 미화하지. 그러니 제약을 다 깨고싶겠지 근데 인간본능적으로 니들 하는거 사랑으로 안보이고 역겨움",104,원댓글,@bobomama-zxc,2025. 9. 9. 오후 11:53:24,4,negative,3,negative,5,negative,3,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,2,1,negative,5,"disgust,anger,judgment",anti_polyamory,5,moral/personal/cultural,"다자연애는 자기 합리화이다.,다자연애는 사랑이 아니다.,다자연애는 역겹다.","사랑은 배타적이어야 한다.,인간의 본능은 일부일처제를 지향한다.,사회적 규범을 따라야 한다.",2,4,1,2
"다자연애는 꼴리는대로가 아닙니다. 연루되는 사람들이 많은 만큼 서로 엄격한 돌봄과 책임이 필요한거고, 그래서 그렇게 못하고 꼴리는대로 하면 금방 망하는 게 다자연애이기도 하고요.",1,↳ 답글,@Daljaguk,2025. 9. 15. 오전 3:54:41,5,positive,4,positive,3,neutral,1,neutral,1,neutral,2,negative,inclusive,contextual,manageable,egalitarian,3,2,4,3,2,3,mixed,3,"concern,warning,responsibility",pro_polyamory,4,practical,"다자연애는 무책임한 방종이 아니다,다자연애는 엄격한 돌봄과 책임이 필요하다","다자연애는 성공적으로 운영될 수 있다,관계 참여자들은 책임감을 가질 수 있다",3,4,3,3
아 졸라 내가 다 창피하네 개짜쳐요뭔가 대단하고 개방적인 나 자신에 심취해있는거같은데 정신차리세요 여자분… 창피한줄은 적어도 아셔야해요사람들이 다 이해를 해서 그렇구나 하는게 아니에요 제발..,139,원댓글,@Gomgom7474,2025. 9. 12. 오전 3:25:26,4,negative,2,negative,3,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,2,negative,5,"창피함,혐오,분노,실망",anti_polyamory,5,moral/cultural,"다자연애는 창피한 일이다,다자연애는 자기 도취적 행동이다,다자연애는 사회적으로 용납되지 않는다","일부일처제가 정상적인 관계 형태이다,사회적 시선이 중요하다,개인은 사회적 규범을 따라야 한다",2,4,1,2
저런인간들 특징이 나는 깨어있는 사람이다 나는 문화적으로 앞서가는 사람이라 생각하면서 살고 있을꺼다 그게 소름이다,44,원댓글,@파이야-r3o,2025. 9. 12. 오후 5:18:13,3,negative,4,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,negative,4,"혐오,불쾌,불신",anti_polyamory,5,moral,"다자연애자들은 자기기만적이다,다자연애는 사회 규범을 위반하는 행위이다","일부일처제가 유일하게 올바른 관계 형태이다,자기기만은 도덕적으로 비난받을 만하다",2,4,1,2
세상에 참말로..ㅠㅜ 장난 똥때리나라는 형돈님 말에 극 공감합니다 진짜 나중에 후회합니다..,6,원댓글,@박지현-q7l,2025. 9. 20. 오후 8:48:14,4,negative,3,negative,4,negative,2,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,4,"disappointment,worry,regret",anti_polyamory,5,personal,다자연애는 후회할 것이다.,"일부일처제가 정상적이고 바람직하다.,다자연애는 진지하지 않다.,다자연애는 정서적 안정감을 해친다.",2,4,1,2
"13:04.... 그냥 그러려니 하고 보려했는데.. 이 말은 도저히 안되겠다..;;ㅋㅋ 그 사랑과 이 사랑이 같습니까..? 학생들을 사랑하는 마음은 애정하는 마음과 가르치려는 마음이고, 애인과의 사랑은 말 그대로 &#39;사랑&#39;인건데.... 왜 그걸 합리화 시키려고 하죠? 그걸 한명만 사랑할줄 아는 사람들과 비교는 왜 하시나요? 우리는 애정과 사랑을 다르게 부르기로 했습니다.그리고, &#39;죽음&#39;과 &#39;자유&#39;를 연관 시키려고 하는데.. 그냥 변명거리를 만든거죠?아니 자꾸 &quot;경험을 안 해보셔서 그래요&quot;라고 그러는데... ;;ㅎㅎ그냥 다자연애가 싫다는게 아닌, 존중을 안 한다는것이 아닌, 자꾸 합리화를 시키고 이해를 시키려는 경황이 보여서 좀 그렇네요. 이해를 바라고, 나 이런 사람이야~라는걸 자랑하려하고, 이 &#39;다자연애&#39; 라는걸 세상에 홍보하려고 방송 나온것만으로 밖에 안 보입니다. 사실.mc들의 꺼려하는 말들에도 자꾸 반항 하려는듯 말을 하는거보니.. 다른 주변사람들에게는 어련히 안 그러실까요?그냥 다자연애라는 타이틀보다도, 출연자분이 별로인것같네요",62,원댓글,@Heize_Fan_Bbazzik,2025. 9. 11. 오후 8:36:44,2,negative,3,negative,4,negative,3,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"disgust,skepticism,frustration",anti_polyamory,4,personal,"다자연애는 합리화이다,다자연애는 홍보성이다,출연자의 태도가 문제다","사랑은 배타적이다,개인의 선택은 존중받아야 하지만 사회적 규범을 따라야 한다,미디어 출연은 개인의 홍보 수단이다",2,4,1,2
"인류가 결국 일부 일 처제를 고집하는 이유는 다양한 이유가 있으니까요. 객관적인 법적으로도 용납되지 않는 걸 굳이 방송을 통해 나오신 것도, 인정 받고 싶으신게 있는 건지.. 그 힘들었던 경험의 무언가가 자기를 바꿔 놓으면서 모두와 사랑하고 싶다는건 그만큼 모두에게 사랑 받고 싶고 기억되고 싶으셨나.. 싶네요. 죽음을 직 간접 적으로 경험 했다는 건 엄청난 트라우마가 있을 수 밖에 없는 일이라 봅니다. 모두에게 사랑을 전파하기 전에 진짜 나는 괜찮은 건지 전문가랑 함께 살펴 보셨으면 합니다.....",27,원댓글,@꽃분홍설탕,2025. 9. 13. 오전 6:13:06,4,positive,2,neutral,3,negative,3,negative,2,neutral,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,mixed,3,"걱정,의구심,비판",anti_polyamory,4,personal/moral/cultural,"다자연애는 과거 트라우마의 결과일 수 있다,다자연애는 법적으로 용납되지 않는다,다자연애는 모두에게 사랑받고 싶다는 욕망의 표현일 수 있다","일부일처제가 정상적인 관계 방식이다,정신적인 문제가 있는 사람이 다자연애를 추구할 수 있다,법은 도덕적 기준을 반영한다",3,4,2,3
안정환 개웃기네 ㅋㅋㅋㅋㅋ,16,원댓글,@user-pw8vh3ro9y,2025. 9. 13. 오후 6:54:12,1,neutral,1,neutral,1,neutral,1,neutral,1,neutral,1,neutral,undefined,undefined,undefined,undefined,3,2,3,2,4,2,positive,3,"amusement,humor",neutral,5,personal,,안정환의 특정 행동이나 발언이 웃음을 유발한다.,1,5,1,1
죽다살아났으면 더 착하게 더 열심히 살아야지언제 죽을지 모른다고 막 살면되냐ᆢ그라믄 안돼ᆢᆢ,96,원댓글,@user-blue.man8740,2025. 9. 10. 오후 12:17:32,5,positive,3,positive,1,neutral,1,neutral,2,positive,1,neutral,undefined,undefined,undefined,undefined,2,4,2,4,1,3,negative,3,"걱정,우려,비판",anti_polyamory,4,moral,"죽다 살아났으면 더 착하게 살아야 한다.,언제 죽을지 모른다고 막 살면 안 된다.","삶은 소중하며 가치 있게 살아야 한다.,쾌락주의적인 삶은 옳지 않다.,책임감 있는 삶이 바람직하다.",2,4,2,3
정상이 아닌듯......,3,↳ 답글,@스마일-p8m,2025. 9. 12. 오전 12:05:48,3,negative,3,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,5,2,2,negative,3,"disapproval,discomfort,judgment",anti_polyamory,4,moral,다자연애는 정상이 아니다.,"일부일처제는 정상적인 관계의 유일한 형태이다.,정상적인 관계는 사회적으로 용인되어야 한다.",1,4,1,2
윤리와 도덕이 사라지게 하는게 사탄 마귀 귀신들의 작전인걸 이들이 알아야하는데 안타깝다,36,원댓글,@수수-j6n5t,2025. 9. 11. 오후 9:20:52,4,negative,3,negative,4,negative,4,negative,5,negative,2,neutral,exclusive,absolute,harmful,hierarchical,2,5,1,5,1,2,negative,5,"disgust,fear,anger,concern,anxiety",anti_polyamory,5,moral/religious,"다자연애는 윤리와 도덕을 파괴한다.,다자연애는 악마의 작전이다.","일부일처제가 유일하고 올바른 관계 형태이다.,전통적인 윤리와 도덕은 절대적이며 불변한다.,초자연적인 악의 세력이 존재하며 인간의 행동에 영향을 미친다.",2,4,1,2
순수한 사랑? 지ㄹ을 하네,121,원댓글,@하나미-l9p,2025. 9. 9. 오후 9:52:23,4,negative,3,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,2,negative,5,"분노,혐오,냉소",anti_polyamory,5,moral,다자연애는 '순수한 사랑'이 아니다,"사랑은 독점적 관계에서만 가능하다,다자연애는 도덕적으로 옳지 않다",1,3,1,1
진짜 이런거 방송하지마세요. 불쾌함.,36,원댓글,@seolheeje,2025. 9. 12. 오후 9:53:52,4,negative,2,negative,3,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"disgust,unease,rejection",anti_polyamory,4,personal,다자연애는 불쾌하다,"일부일처제가 정상적인 관계 형태이다,다자연애는 사회적으로 용납될 수 없다,방송은 사회적으로 바람직한 가치를 전달해야 한다",1,5,1,2
왜 이런 방송 하는 거예요,74,원댓글,@황금선-j4m,2025. 9. 10. 오후 2:06:38,3,negative,2,negative,4,negative,1,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,negative,3,"discomfort,disapproval,questioning",anti_polyamory,4,cultural/moral,다자연애 방송은 사회적으로 부적절하다,"일부일처제가 정상적인 관계 형태이다,미디어는 사회적으로 유해한 내용을 방송해서는 안 된다",2,4,1,2
그냥 MC들 리액션이랑 너무 같아요 쒯,8,원댓글,@RecordMT,2025. 9. 15. 오전 1:46:40,2,negative,3,negative,1,neutral,1,neutral,1,neutral,2,negative,undefined,undefined,undefined,undefined,3,2,3,3,2,3,negative,4,"disgust,frustration,disappointment",anti_polyamory,4,cultural,"다자연애를 다루는 방식이 가식적이다.,방송이 다자연애의 진정한 모습을 왜곡한다.","방송은 진실해야 한다.,다자연애는 진지하게 다뤄져야 한다.",2,4,2,2
걍…. 내 삶에 저런 마인드인 사람을 단 한명이라도 겪을 일이 없었으면 좋겟다 얽히고 싶지 않음,41,원댓글,@아오아-i8n,2025. 9. 11. 오후 1:52:57,3,negative,2,neutral,4,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,3,4,2,4,2,3,negative,3,"불쾌감,회피,불안",anti_polyamory,5,personal,다자연애를 하는 사람과 얽히고 싶지 않다,"다자연애는 자신에게 부정적인 영향을 미칠 것이다,전통적인 일부일처제가 옳다고 생각한다",2,4,1,2
야동할배가 그런말 하실입장은아니신것같네요,0,↳ 답글,@광철영감이수-b9x,2025. 9. 25. 오전 12:04:00,3,negative,4,negative,1,neutral,2,negative,3,negative,2,negative,undefined,undefined,undefined,undefined,3,4,2,4,2,3,negative,4,"disgust,anger,contempt",anti_polyamory,5,personal,야동을 본 사람은 다자연애에 대해 말할 자격이 없다.,"과거의 도덕적 결함은 현재의 의견 제시 자격을 박탈한다.,특정 행위(야동 시청)는 도덕적으로 비난받을 만하다.",2,4,1,2
세상에 종말이 멀지 않았다,6,원댓글,@savage21-g5y,2025. 9. 19. 오전 2:59:50,4,negative,3,negative,4,negative,3,negative,5,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"fear,disgust,anxiety",anti_polyamory,5,moral,다자연애는 사회의 종말을 초래한다,"전통적인 관계만이 옳다,다자연애는 도덕적으로 잘못되었다,사회는 전통적인 가치관에 기반해야 한다",2,4,1,2
죽음의 고비를 넘겼다고 해서 다자연애 한다는 건 이해 할 수가 없다그냥 특이한 나 특이한 우리들에 심취하신듯,18,원댓글,@0100-m1l,2025. 9. 12. 오후 3:11:09,3,negative,2,negative,4,negative,2,neutral,3,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,3,2,negative,3,"disbelief,judgment,skepticism",anti_polyamory,4,personal,"다자연애는 특이한 것에 심취한 행위이다,죽음의 고비를 넘긴 경험이 다자연애의 정당한 이유가 될 수 없다","다자연애는 정상적인 연애 방식이 아니다,연애는 배타적이어야 한다",2,4,2,2
이걸 굳이 방송에 나와서 알리는 이유는??,28,원댓글,@선미박-k2m,2025. 9. 11. 오후 5:52:13,2,negative,1,neutral,3,negative,2,negative,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,negative,3,"curiosity,doubt,disapproval",anti_polyamory,4,cultural,다자연애를 굳이 방송에 알릴 필요가 없다,"다자연애는 주류 문화에 적합하지 않다,개인의 성적 지향은 사적인 영역에 속한다,다자연애 공개는 사회적 혼란을 야기할 수 있다",2,4,2,2
방송으로 이런걸 내보내다니 미친거 아니냐??!!,5,원댓글,@수국사랑-x7j,2025. 9. 17. 오후 12:14:24,4,negative,3,negative,5,negative,3,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"분노,혐오,불쾌함",anti_polyamory,5,moral/cultural,"다자연애는 비정상적이다,다자연애는 사회에 해롭다","일부일처제가 유일한 정상적인 관계 형태이다,방송은 사회적으로 해로운 내용을 내보내서는 안된다",1,5,1,1
ㅋㅋㅋㅋㅋ… 돈 없으니깐 많이 말 안할란다 근데 사랑 사랑 거리면서 합리화할려는건 진짜 웃기넼ㅋ,11,원댓글,@골드-z1j,2025. 9. 14. 오전 12:59:18,2,negative,3,negative,4,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,negative,3,"비판,경멸,불신",anti_polyamory,4,moral,다자연애는 사랑을 합리화하는 수단이다,"진정한 사랑은 배타적이며 다자연애는 진정한 사랑이 아니다,도덕적 정당성이 결여되어있다",2,4,1,2
지구인도 화성인도 아니고 뭐라고는 말 못하겠다,13,원댓글,@태기산폭격기,2025. 9. 11. 오후 4:43:04,2,neutral,2,neutral,3,neutral,2,neutral,2,neutral,3,neutral,undefined,contextual,undefined,undefined,3,3,3,3,3,3,neutral,2,"uncertainty,ambivalence,reservedness",neutral,1,personal,,"다자연애에 대한 판단은 복잡하고 신중해야 한다.,개인의 가치관에 따라 다자연애에 대한 의견이 다를 수 있다.",3,5,3,3
이 영상은 삭제 바랍니다. 이런건 전 세계 어디에서도 미화될 수 없는 방송이네요. 저런 출연자 이란가면 돌 맞아 죽습니다.,10,원댓글,@Koreansemimaster,2025. 9. 16. 오후 10:57:47,4,negative,2,neutral,3,negative,3,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,4,"분노,혐오,불안",anti_polyamory,5,moral/cultural,"다자연애는 미화될 수 없다,다자연애는 위험한 결과를 초래할 수 있다","일부일처제가 정상적인 관계 형태이다,사회의 도덕적 기준은 절대적이다,방송은 사회에 영향을 미치는 매체이므로 신중해야 한다",2,4,1,2
ㄷㄷ당황스럽다,18,원댓글,@지콩-p9t,2025. 9. 13. 오후 3:34:40,2,negative,3,negative,4,negative,1,neutral,3,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"shock,confusion,discomfort",anti_polyamory,2,personal,"다자연애는 이해하기 어렵다,기존의 연애관과 다르다","사랑은 독점적이어야 한다,연애 관계는 1대1 관계여야 한다",1,3,2,2
"쓰리썸을 이렇게 당당히,,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 갱 어이상실",7,원댓글,@개구리히말딱쥐쓰,2025. 9. 19. 오후 1:13:57,3,negative,4,negative,5,negative,2,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,4,"disgust,shock,disbelief",anti_polyamory,5,moral,"다자연애는 비도덕적이다,기존 관계에 대한 배신이다","사랑은 독점적이어야 한다,관계는 일부일처제를 기반으로 해야 한다",1,5,1,1
이런 방송을 왜 하는거지?,43,원댓글,@suchoi9915,2025. 9. 10. 오후 6:15:42,3,negative,2,neutral,4,negative,3,negative,4,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,4,2,2,negative,3,"confusion,disapproval,skepticism",anti_polyamory,3,cultural,다자연애는 전통적인 가족 가치와 상충된다.,"일부일처제가 가장 자연스럽고 건강한 관계 형태이다.,방송은 특정 관계 형태를 정상적인 것으로 홍보한다.",1,4,1,2
한 남자와 한 여자가 만나서 한몸을 이루는 겁니다.,4,원댓글,@statsophia,2025. 9. 14. 오전 10:58:05,3,positive,4,negative,5,negative,3,negative,4,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,2,2,neutral,2,"disapproval,concern",anti_polyamory,4,moral,"일부일처제가 이상적인 관계 형태이다.,다자연애는 관계의 불안정성을 야기한다.","사랑은 독점적 관계에서 가장 잘 표현된다.,안정적인 가정은 사회의 기본 단위이다.",2,4,2,2
안정환씨 화참는게 보인다ㅎㅎ,6,원댓글,@loveU-hr3,2025. 9. 23. 오전 1:19:34,2,negative,4,negative,3,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,3,4,2,4,2,3,negative,3,"discomfort,criticism,implied_judgment",anti_polyamory,4,personal,안정환이 불편함을 느낀다,"다자연애는 자연스럽지 않다,다자연애는 불편함을 초래한다,일부일처제가 자연스럽다",2,4,2,2
죽을고비 넘었다고 막산다고?,27,원댓글,@유초희-m3z,2025. 9. 11. 오전 4:11:21,4,negative,3,negative,4,negative,1,neutral,2,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,3,2,negative,4,"걱정,비판,불안",anti_polyamory,4,moral,"죽을 고비를 넘긴 후의 삶은 더욱 신중하고 책임감 있게 살아야 한다.,다자연애는 '막 사는' 행위로 이어질 수 있다.","인생은 소중하며 낭비해서는 안 된다.,다자연애는 책임감 없고 문란한 관계이다.",2,4,2,3
순수한 사랑이 아니라 날것 그대로 욕구대로의 사랑이겠지 ㅉ,4,원댓글,@ukgarageloverr,2025. 9. 22. 오후 3:35:16,4,negative,3,negative,4,negative,2,neutral,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,1,2,negative,3,"disgust,contempt,judgment",anti_polyamory,4,moral,"다자연애는 순수한 사랑이 아니다,다자연애는 욕구에 따른 것이다","사랑은 배타적이어야 한다,욕구 충족은 사랑의 본질을 흐린다,순수한 사랑은 숭고하고 고귀해야 한다",2,4,1,2
난 설명해줘도 이해를 못하겠네.. 여자분 뉘앙스는 셋이 한번에 잠ㅈ ㅏㄹ|를 한다고 들리고 남자분 인터뷰 할때는 다른 남자가 생겨도 괜찮은데 잠자리하는건 안된다 라고 하던데...?그럼 남자입장에서 여자는 더 늘려와도 되고 남자는 안된다는건짘ㅋㅋㅋ,7,원댓글,@pipififipopo,2025. 9. 18. 오후 10:55:16,3,negative,4,negative,2,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,1,negative,3,"confusion,disgust,anger",anti_polyamory,4,moral,"다자연애는 불공정하다.,다자연애는 이해하기 어렵다.","성적 독점성은 관계의 필수 요소이다.,남녀 관계는 본질적으로 불평등할 수 있다.",2,4,2,2
내 주위에 저런 사람이 없다는게 천만다행 이라고 생각한다,14,원댓글,@빨래집게-s4u,2025. 9. 12. 오후 9:30:29,4,negative,3,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"discomfort,aversion,fear",anti_polyamory,4,personal,"다자연애는 바람직하지 않다,다자연애는 나의 가치관과 맞지 않는다","독점적인 관계가 정상적이고 바람직하다,다자연애는 불안정하고 불행을 초래한다",1,5,1,1
드러운방송 폐지해라..,19,원댓글,@나나-l6r1o,2025. 9. 11. 오후 2:39:41,4,negative,2,negative,3,negative,2,negative,5,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"혐오,분노,거부감",anti_polyamory,5,moral,"다자연애는 부도덕하다,해당 방송은 폐지되어야 한다","전통적인 일부일처제가 유일하게 올바른 관계 형태이다,방송은 사회에 악영향을 미친다",1,4,1,1
이해 못하는 내가 이상한건지 정신과 상담이 아주 필요하고 입원치료도 아주 시급한것 같습니다,4,원댓글,@빨래집게-s4u,2025. 9. 12. 오후 9:28:35,4,negative,3,negative,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,1,4,2,1,negative,4,"confusion,fear,disgust,judgment",anti_polyamory,5,personal,"다자연애는 비정상적이다.,정신과적 치료가 필요하다.","일부일처제가 정상적인 관계 모델이다.,정신 건강의 기준은 사회적 규범에 따른다.",2,4,1,2
이게 실제던.. 작가가 대본주고 짜고치는거던… 시청률에 미쳤네… 다자연애가 뭐야. 그냥 바람인데 상대방이 보살인거지,4,원댓글,@yeonseo_00-c2v,2025. 9. 16. 오전 11:42:54,4,negative,5,negative,5,negative,1,neutral,2,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,3,negative,3,"disgust,disbelief,concern",anti_polyamory,4,moral,"다자연애는 바람이다,다자연애는 불공정하다","배타적 사랑이 정상적인 사랑의 형태이다,관계는 공정해야 한다",2,4,2,2
아… 다자연애라는게 우리나라에서 가능한거 였구나개념 자체를 처음 들어봤는데… 😢,8,원댓글,@yellowchick22,2025. 9. 12. 오후 10:09:28,2,negative,3,negative,4,negative,2,neutral,3,negative,2,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,2,"surprise,confusion,concern",questioning,2,cultural,다자연애는 한국 사회에서 일반적이지 않다.,"일부일처제가 정상적인 관계 형태이다.,한국 사회는 전통적인 가치관을 중시한다.",2,4,3,2
프랑스는 저런거 할꺼같음,0,↳ 답글,@광철영감이수-b9x,2025. 9. 25. 오전 12:08:19,1,neutral,1,neutral,2,neutral,3,neutral,2,neutral,3,neutral,undefined,undefined,undefined,fluid,3,2,4,3,3,3,neutral,2,"acceptance,curiosity",neutral,3,cultural,프랑스는 다자연애를 수용할 가능성이 높다.,"프랑스 문화는 개방적이고 자유주의적이다.,다자연애는 특정 문화권에서 더 잘 받아들여질 수 있다.",2,4,3,2
도대체 이걸 tv방송에 왜 내보내냐...누가 이런거 궁금해한다고,7,원댓글,@jh-mr8qi,2025. 9. 12. 오후 11:34:48,3,negative,2,neutral,4,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,3,"disgust,annoyance,disapproval",anti_polyamory,4,cultural,"다자연애는 대중의 관심사가 아니다.,다자연애는 불필요하게 방송에 등장한다.","다자연애는 주류 문화에 속하지 않는다.,방송은 대중의 관심사에 부합해야 한다.",2,4,1,2
제작진 진짜 정신차리세요,3,원댓글,@우주아빠야,2025. 9. 24. 오후 3:18:41,4,negative,2,negative,3,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,4,2,4,2,2,negative,4,"disgust,anger,disapproval",anti_polyamory,5,moral,다자연애 묘사는 부도덕하다,"일부일처제가 유일하게 올바른 관계 형태이다,미디어는 사회에 긍정적인 영향을 미쳐야 한다",1,5,1,1
걍 한사람 제대로 못만나니까 여기저기 퍼주고 다니는걸 존나 포장해놨네 내주변에 저런사람있으면 바로 손절치고 팬다,7,원댓글,@팩트괴몰,2025. 9. 16. 오후 3:03:30,4,negative,5,negative,5,negative,2,negative,3,negative,1,neutral,exclusive,absolute,natural,hierarchical,2,5,1,5,1,2,negative,5,"분노,혐오,경멸",anti_polyamory,5,personal,"다자연애는 한 사람을 제대로 만나지 못하는 사람들의 자기 합리화이다.,다자연애는 진실을 왜곡하고 포장된 행위이다.","진정한 사랑은 한 사람에게만 집중되어야 한다.,다자연애는 관계에서의 책임감을 회피하는 행위이다.,전통적인 관계만이 정상적이고 건강한 관계이다.",1,4,1,1
많은 영향력을 미칠 수 있는 방송에서 정말 이런 내용은 선별방송해야되지 않을까요?,11,원댓글,@웰씽킹-k5c,2025. 9. 12. 오전 12:42:04,4,negative,2,neutral,3,negative,3,negative,4,negative,2,negative,exclusive,absolute,harmful,hierarchical,2,4,2,4,2,3,negative,3,"걱정,불안,우려",anti_polyamory,4,moral,방송의 영향력이 크므로 다자연애와 같은 내용은 신중하게 다뤄야 한다,"다자연애는 사회적으로 부정적인 영향을 미칠 수 있다,방송은 사회적 가치에 영향을 미치는 중요한 매체이다,방송은 사회적 책임이 있다",2,4,2,3
방송이 검열이 넘 심하면 오히려 언론 통제라고 생각해요. 여기 나온 하늘님 처럼 진지하게 목숨 걸고 자기 사랑 찾는 분도 계실 텐데. 오히려 이런 방송이 비슷한 사람들에게 큰 용기를 줄 거 같네용. 전 방송 잘 했다고 봐욤 (지나가는 행인 댓글 쓱 얹어 봅니다~),0,↳ 답글,@김쫀득-v1z,2025. 9. 13. 오후 12:43:30,4,positive,2,negative,1,neutral,3,positive,1,neutral,4,positive,inclusive,flexible,irrelevant,undefined,4,2,5,2,3,4,positive,3,"지지,희망,공감",pro_polyamory,4,moral,"검열은 언론 통제이다,다자연애는 존중받아야 한다,다자연애 방송은 긍정적인 영향을 준다","개인의 사랑은 자유롭게 선택할 수 있다,다양한 형태의 관계는 존중받아야 한다,언론의 자유는 중요하다",2,4,3,3
